name,N,alpha0_best,A_morph,chi2_WT_best,chi2_WT_kappa,chi2_MOND,chi2_LCDM,WT_wins,MOND_wins,LCDM_wins,delta_chi2_WT_MOND,delta_chi2_WT_LCDM,Vmax_kms,Rout_kpc,f_gas_mean,f_gas_outer,M200_Msun,log10_M200,a_char,log10_a_char,m_used,A_morph_cluster,A_morph_cluster_confidence,A_morph_cluster_center
UGC03580,47,1.127,1.02332,72.6107,72.8157,128.133,130.944,1,0,0,-55.5218,-58.3329,131.0,27.06,0.0801854,0.360347,746692000000.0,11.8731,2.05525e-11,-10.6871,1,1,1.0,1.1364993942857144
UGC04278,25,1.394,1.26575,2.2197,3.97088,2.74562,3.73892,1,0,0,-0.525916,-1.51921,92.8,6.69,0.138111,0.563328,265443000000.0,11.424,4.17176e-11,-10.3797,1,1,1.0,1.1364993942857144
UGC04305,22,0.326,0.296008,1.6458,41.8269,78.9196,15.4254,1,0,0,-77.2738,-13.7796,37.3,5.52,0.230478,0.509241,17236700000.0,10.2365,8.16823e-12,-11.0879,1,1,1.0,1.1364993942857144
UGC04325,8,2.175,1.9749,8.61137,56.6501,19.6527,45.4975,1,0,0,-11.0414,-36.8861,92.7,5.59,0.160831,0.292692,264586000000.0,11.4226,4.98192e-11,-10.3026,1,1,1.0,1.1364993942857144
UGC04483,8,0.896,0.813568,0.447617,2.15286,11.5573,2.3992,1,0,0,-11.1097,-1.95159,24.3,1.21,0.477765,0.745589,4765920000.0,9.67815,1.58153e-11,-10.8009,1,1,1.0,1.1364993942857144
UGC04499,9,1.085,0.98518,1.10181,1.12601,15.2235,2.24753,1,0,0,-14.1217,-1.14572,74.3,8.18,0.279103,0.486547,136237000000.0,11.1343,2.18713e-11,-10.6601,1,1,1.0,1.1364993942857144
UGC05005,11,0.895,0.81266,0.358055,0.969442,4.19476,1.12151,1,0,0,-3.83671,-0.763458,100.0,28.61,0.294397,0.695477,332145000000.0,11.5213,1.13274e-11,-10.9459,1,1,1.0,1.1364993942857144
UGC05253,73,1.666,1.51273,86.4007,113.571,109.097,144.96,1,0,0,-22.6966,-58.5591,248.0,53.29,0.0156105,0.135692,5066210000000.0,12.7047,3.74031e-11,-10.4271,1,1,1.0,1.1364993942857144
UGC05414,6,1.001,0.908908,1.32325,2.02418,19.5981,2.27936,1,0,0,-18.2749,-0.956112,61.4,4.11,0.204138,0.317045,76883400000.0,10.8858,2.97265e-11,-10.5269,1,1,1.0,1.1364993942857144
UGC05716,12,1.32,1.19856,15.7727,67.424,22.2652,95.4186,1,0,0,-6.49255,-79.6459,74.7,12.37,0.478827,0.784179,138449000000.0,11.1413,1.46191e-11,-10.8351,1,1,1.0,1.1364993942857144
UGC05721,23,2.421,2.19827,2.74581,22.4007,10.3948,19.5001,1,0,0,-7.64899,-16.7543,82.6,6.74,0.277907,0.637317,187184000000.0,11.2723,3.28057e-11,-10.4841,1,1,1.0,1.1364993942857144
UGC05750,11,0.809,0.734572,0.53502,1.9249,6.03691,1.74319,1,0,0,-5.50189,-1.20817,78.9,22.85,0.202286,0.659454,163139000000.0,11.2126,8.82912e-12,-11.0541,1,1,1.0,1.1364993942857144
UGC05764,10,2.236,2.03029,28.2047,480.744,224.862,608.385,1,0,0,-196.657,-580.18,55.8,3.62,0.587002,0.755406,57707200000.0,10.7612,2.78746e-11,-10.5548,1,1,1.0,1.1364993942857144
UGC05829,11,1.036,0.940688,0.0540275,0.139039,2.98674,0.20174,1,0,0,-2.93271,-0.147713,68.6,6.91,0.373636,0.744941,107226000000.0,11.0303,2.20709e-11,-10.6562,1,1,1.0,1.1364993942857144
